,progress_10_years_tr
18806,Maybe their will be an improvement
18807,I know with in ten years if women hold together n support each other our voices will stand out .
18808,Quite slow. Almost no progress
18809,Don'`t know yet
18810,"With proper education,empowerment and motivated people advocating for the women ,I feel in 10 years women in Zimbabwe will now be able to stand up for their rights. The major problem I think is that of dependence considering the economic situation in the country and all. Women endure violence and other rights violations from their providers all in the fear of being cut off."
18811,
18812,Womens have been educated impowering herself to motivate others.
18813,
18814,Empowered to venture into other sectors of business.  Stay at home mums being able to realise their importance on society.  Women not being harassed or abused  and learning to stand up for their right in and outside marriage 
18815,
18816,Poor change
18817,The best
18818,
18819,
18820,
18821,
18822,Still low though showing some few changes
18823,80%
18824,
18825,
18826,Nop
18827,
18828,
18829,
18830,Women in Power
18831,"Women will have more insight on life, independence and personal growth in all areas of life "
18832,"Progressed for the better,  highly sensitized, inclusive, participatory although facing drawbacks economically"
18833,
18834,
18835,
18836,It will have improved by some reasonable % because they are getting awareness
18837,At the time being I don'`t see it going anywhere that far especially in our community
18838,I wish women finally reach equity.
18839,
18840,"In Libya, not so much because of the situation."
18841,
18842,It will be better 
18843,
18844,"The progress of human rights of women. (b) if so, the details thereof and the reasons therefor? The 10-year-old women will be in every sector of the government. "
18845,
18846,We want the best
18847,"It'`s achievable as long as women movements are organised around issues affecting them,to solve them by them selves."
18848,We are progress for womens humanb right. We directing political and other factor 
18849,I AM CONVINCED THAT WOMEN WILL EMPOWER OURSELVES AND VINDICATE OUR HUMAN RIGHTS.
18850,Bright future women will be able to have moved on higher positions
18851,Education should be Free of cost for atleast ladies
18852,
18853,I don'`t know them
18854,
18855,
18856,"Regressive,  being overtaken by gay rights "
18857,"I see it as very difficult, in Paraguay we do not even have a law against all types of discrimination. We are very behind, the worst in the region, in 10 years I do not see that much will change, with a different government that does not proclaim itself pro-life and pro-family capable things improve. We need education with a gender perspective."
18858,Women human rights in the next 10yrs will look like a new world progress
18859,Very successful 
18860,
18861,
18862,No
18863,
18864,will be better
18865,
18866,Self development
18867,
18868,
18869,There will be much more freedom and less machismo 
18870,Little progress has been made in my country
18871,
18872,Not much different 
18873,
18874,Independent
18875,
18876,
18877,
18878,Women rights have been marginalized over the past years. 
18879,
18880,
18881,There will be no progress in this field because today women are increasingly repressed or simply killed.
18882,good
18883,
18884,Very poor because the actions that are being done do not achieve the Goal 
18885,
18886,
18887,Women will become more acceptable in higher influence positions. As well as progress in laws against women abuse laws and child marriages .
18888,
18889,
18890,
18891,
18892,
18893,
18894,
18895,There is some improvement. 
18896,
18897,Women will also be in leadership and also into decision making in great numbers
18898,
18899,Just hoping that it would be better than what it is now 
18900,
18901,
18902,
18903,Wonderful improvement will make a difference
18904,
18905,Not more as need my hope 
18906,Independency 
18907,It has slightly improved as we see them leading men dominated fields. Women are  enemies to themselves as they don'`t support each other.\r\n\r\n
18908,
18909,
18910,I hope that happens.
18911,Awesome
18912,As far as I have observed the coming 10years almost every woman will be independent and will be bold enough to stand for her rights both in marriage and in the world\r\n\r\n
18913,
18914,A remarkable development on all the origins of women in Tunisia to the supreme authority of the heads of state 
