iso3166,gender,race,age,language,progress_10_years_tr
LR,man,middle_eastern,25 to 34,cy,Asatu\r\r\nFatu\r\r\r\r\r\r\r\r\n\n\r\n\r\n\n\r\n\r\r\n\r\r\r\r\r\r\r\r\r\r\r\r\r\n\ r\n\r\r\r\r\n
TN,man,north_african,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,en,"I fear things are going to get worse, in my thinking "
CM,woman,black_or_of_african_descent,25 to 34,,
VE,woman,hispanic_or_latinx,65 to 74,,
BH,man,indigenous,25 to 34,,
UG,woman,black_or_of_african_descent,18 to 24,en,80%
ZW,woman,black_or_of_african_descent,25 to 34,en,a political  party run by women for women
CM,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,18 to 24,en,To protect children and young women
ZW,woman,black_or_of_african_descent,25 to 34,,
VE,woman,hispanic_or_latinx,18 to 24,,
NP,woman,asian,35 to 44,en,ucch shiksha and patrik sampati me baraber ka hukk
CM,woman,black_or_of_african_descent,25 to 34,,
CM,gender_choose_not_to_identify,black_or_of_african_descent,25 to 34,,
NG,woman,black_or_of_african_descent+white,18 to 24,,
CM,woman,black_or_of_african_descent,45 to 54,fr,More violence against women more women dying on childbirth tables more children disappearing without knowing why more hunger more war but peace in the world 
ZW,woman,racial_identity_not_listed,18 to 24,,
NP,woman,asian,18 to 24,en,"Equally property distribution from parents for both girls and boys child, no dowry system, a girl should be educated and financially stable to stop domestic violence or harassment, she should be able to raise her voice against harassment "
ZW,woman,choose_not_to_identify,18 to 24,,
TN,woman,indigenous,18 to 24,ar,Great because there are achievements of determination that we make imaginary
UG,woman,black_or_of_african_descent,25 to 34,,
BW,woman,black_or_of_african_descent,25 to 34,en,Hopeful patriarchy will be at its lowest since people would be well informed 
NG,woman,black_or_of_african_descent,25 to 34,en,"It will be better, women voices are being heard everywhere. "
NG,man,black_or_of_african_descent,35 to 44,,
NP,woman,choose_not_to_identify,25 to 34,hi,nothing
NP,woman,asian,25 to 34,en,"all women wil be indeopent in all field, finiancial, social and so on . "
TN,woman,north_african,25 to 34,ar,In evolution
ZW,woman,choose_not_to_identify,45 to 54,en,There a progress but very small though
TN,cisgender_woman+woman,north_african,35 to 44,ar,For the better.
HN,woman,hispanic_or_latinx,35 to 44,es,I don'`t know I have no idea in Honduras governs a great uncertainty
VE,woman,hispanic_or_latinx,35 to 44,es,"We are entrepreneurs, but it is slow"
ZW,woman,black_or_of_african_descent,25 to 34,,
CM,woman,black_or_of_african_descent,25 to 34,,
TN,woman,black_or_of_african_descent,45 to 54,,
TN,cisgender_woman+woman,biracial_or_mixed,18 to 24,ar,The image that the media is promoting to women will take us back. 
TN,woman,racial_identity_not_listed,18 to 24,,
CM,woman,black_or_of_african_descent,25 to 34,,
NG,woman,black_or_of_african_descent,55 to 64,,
LR,woman,black_or_of_african_descent,25 to 34,en,"The progress for women’s rights is to see each girl knowing that she can be any thing that her opposite gender can be, we can be more involved with out mom shaming and with self confidence and respect "
LR,woman,asian,35 to 44,,
CR,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,,
NP,woman,asian,25 to 34,ro,Succed
CM,woman,black_or_of_african_descent,35 to 44,,
ZW,woman,black_or_of_african_descent,18 to 24,en,It'`s going to be breath taking considering how much perceptions have changed and still are.
NP,woman,asian,25 to 34,en,In 10 years Women of rural Nepal will fight for their education. There will be less number of early marriage. They can freely choose their partner to marry. Whether to marry or not will be a personal issue and it wont be questioned by the society. Women will be more self employed with less number of children. Womens´ number  will increase in politics and other social sector. 
NG,woman,south_asian+white,18 to 24,en,Good work 
HN,woman,white,25 to 34,es,Very well
BW,cisgender_woman+woman,choose_not_to_identify,25 to 34,en,
BW,woman,black_or_of_african_descent,25 to 34,en,Women must treated the same as man are treated 
LR,woman,north_african,18 to 24,en,CAN'`T Tell now\r\n
VE,cisgender_woman+woman,black_or_of_african_descent,18 to 24,es,"Women are struggling a lot as for decades to be taken into account, I am sure that everything will be better for us in 10 years"
LR,woman,black_or_of_african_descent,25 to 34,,
NP,woman,asian,18 to 24,,
UG,woman,black_or_of_african_descent,18 to 24,,
VE,woman,hispanic_or_latinx,45 to 54,,
BW,woman,white,25 to 34,,
TN,woman,indigenous,25 to 34,,
NG,woman,black_or_of_african_descent,18 to 24,,
LR,woman,choose_not_to_identify,25 to 34,,
BW,woman,black_or_of_african_descent,18 to 24,en,Women'`s rights have started to progress for the past tears and will continue to... the social and cultural differences set upon women are changing but by bit .. and this shows in the next 10 years women'`s rights will be realised in diverse ways...
LR,woman,black_or_of_african_descent,25 to 34,,
VE,woman,hispanic_or_latinx+white,18 to 24,es,"I hope that within 10 years the rate of femicide will decrease by at least 90% that in Latin American countries women can have a real relevance, where they can express their opinion and be heard and that adolescents are taught that they can be independent and boys teach them that women make their own decisions and that they must accept and respect it as well as respect the decisions and opinions of another man."
NP,woman,asian,55 to 64,,
VE,woman,hispanic_or_latinx,35 to 44,,
LR,woman,choose_not_to_identify,25 to 34,,
TN,woman,north_african,35 to 44,ar,I don'`t think there'`s much progress.
NG,woman,middle_eastern,18 to 24,en,Okay
ZW,woman,black_or_of_african_descent,18 to 24,,
TN,woman,north_african,25 to 34,ar,"In my country women'`s rights are available, "
VE,woman,hispanic_or_latinx,45 to 54,es,In the 
ZW,woman,black_or_of_african_descent,55 to 64,en,A lot better 
NG,woman,black_or_of_african_descent,25 to 34,en,Freedom
NP,woman,asian,25 to 34,en,"In contest of nepal, women are forced to marry culturallay ,they don'`t have right to choose career and educaion in more areas... "
UG,gender_choose_not_to_identify,choose_not_to_identify,18 to 24,en,Top
LR,woman,black_or_of_african_descent,18 to 24,en,Human right as a good woman I have to be honest and patient in everything I do has to educate my friends and family
LR,woman,black_or_of_african_descent,25 to 34,en,
HN,woman,hispanic_or_latinx,45 to 54,es,"If we seek to educate ourselves, we can see a substantial change in women since childhood socializing the problem and applying it. "
HN,woman,indigenous_central_or_south_american,25 to 34,es,"I see it unlikely to improve, the culture prevents, the change begins in the way children are taught. I have 2 children and respect is the first thing I teach them. if you respect the genders you do not harm, you do not mistreat, you do not speak before you think ..."
LR,woman,black_or_of_african_descent,25 to 34,en,In my country I believe it will improve my them
UG,woman,white,25 to 34,en,Better
NG,woman,north_african,18 to 24,en,Nothing 
LR,woman,black_or_of_african_descent,35 to 44,,
LR,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,45 to 54,,
LR,woman,black_or_of_african_descent,25 to 34,en,In 10 years progress for women'`s human rights will be a great inspiration and motivation to all women around the world and women will know the value they have and the impact they have on the world at large. 
VE,woman,biracial_or_mixed+hispanic_or_latinx,35 to 44,es,There has been greater empowerment of women in many areas. Everything will improve if we continue to raise our voices. 
LR,cisgender_woman,black_or_of_african_descent,18 to 24,,
LR,woman,black_or_of_african_descent,25 to 34,,
LR,woman,black_or_of_african_descent,35 to 44,en,Progress for women in my country is on the negative effects. Women r not making no impact in my country. Woman are been marginalize in so many ways in liberia. Work places bosses request to sleep with females b4 getting job.
NG,cisgender_woman+non_conforming_or_non_binary+transgender_woman+woman,north_african,25 to 34,en,
TN,woman,north_african,18 to 24,,
LR,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,55 to 64,en,In 10 years time women will be more reckoned with in the society.
ZW,woman,racial_identity_not_listed+white,18 to 24,,
NG,woman,racial_identity_not_listed,25 to 34,en,Involvement in public opinion
VE,woman,hispanic_or_latinx,25 to 34,es,"As time goes by, women'`s human rights evolve as new needs and circumstances arise, in my opinion, we face new struggles for the acceptance of this evolution. "
UG,woman,black_or_of_african_descent,25 to 34,en,It will be a success
NG,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,35 to 44,en,"Though slow paced but women are beginning to understand and speak up up for themselves so as to free themselves from bondage through their reproductive rights and choices, career and social inclination. I see more women free and acheiving more in the next 10 years. "
NG,gender_choose_not_to_identify,choose_not_to_identify,25 to 34,,
UG,woman,north_african,18 to 24,,
BW,woman,black_or_of_african_descent,18 to 24,,
TN,woman,north_african,55 to 64,ar,Important progress and builders 
NG,woman,black_or_of_african_descent,25 to 34,en,A financially secure and independent woman. \r\n
NG,woman,black_or_of_african_descent,25 to 34,,
VE,woman,choose_not_to_identify,55 to 64,es,"If they wake up, slight progress"
UG,woman,middle_eastern,18 to 24,en,Great
BW,woman,choose_not_to_identify,35 to 44,en,Changed from worse to better
NP,woman,asian,35 to 44,,
HN,woman,hispanic_or_latinx,18 to 24,es,Very little in this country women still do not have rights 
HN,woman,hispanic_or_latinx,55 to 64,es,Maybe they do nothing and less for older women 
VE,woman,white,45 to 54,,
LR,woman,black_or_of_african_descent,18 to 24,,
NP,woman,asian,25 to 34,,
ZW,woman,black_or_of_african_descent,18 to 24,en,Due to the women empowerment. There is an increase rate where women are being given their own rights
ZW,woman,black_or_of_african_descent,18 to 24,,
NG,woman,black_or_of_african_descent,25 to 34,en,Not setting
LR,woman,black_or_of_african_descent,18 to 24,,
BW,woman,black_or_of_african_descent,18 to 24,,
VE,woman,hispanic_or_latinx,25 to 34,,
NP,woman,asian,25 to 34,,
LR,non_conforming_or_non_binary+woman,black_or_of_african_descent,25 to 34,,
ZW,woman,racial_identity_not_listed,25 to 34,,
NP,woman,choose_not_to_identify,45 to 54,,
TN,woman,white,25 to 34,,
ZW,woman,black_or_of_african_descent,25 to 34,en,Women having to be able to be recognised as capable in important decision making. \r\nWomen being able to stand on their own financially and being influential in society and economy world wide
VE,man,choose_not_to_identify,45 to 54,,
BW,cisgender_woman+woman,black_or_of_african_descent,25 to 34,en,More women in leadership in private and public sector particularly in science
NP,woman,asian,25 to 34,,
VE,woman,white,45 to 54,,
LR,woman,black_or_of_african_descent,18 to 24,en,To stop domestic violence 
TN,woman,choose_not_to_identify,25 to 34,ar,tremendous
NP,woman,choose_not_to_identify,35 to 44,en,Kuchh sudhar
VE,woman,hispanic_or_latinx,45 to 54,es,"The last decades of Venezuela have been characterized by a series of changes and decline not only in the progress of women'`s human rights, but of the entire society and people in general. That is why glimpsing the future of the progress of women'`s human rights positively is still very uncertain in our country."
LR,woman,black_or_of_african_descent,25 to 34,en,From my country it'`s still a long fight away. Women are pushing but the progress is slow. In the next 10 years Liberia will have a progress of  30%
ZW,woman,black_or_of_african_descent,45 to 54,en,Uncontrollable
LR,woman,choose_not_to_identify,18 to 24,,
NG,gender_choose_not_to_identify,black_or_of_african_descent,18 to 24,,
HN,woman,hispanic_or_latinx,18 to 24,es,Very advanced since year after year women are obtaining the same recognition that men have in society 
PY,woman,choose_not_to_identify,45 to 54,es,Habra improved a lot
BW,woman,black_or_of_african_descent,25 to 34,,
UG,woman,black_or_of_african_descent,45 to 54,,
BW,woman,black_or_of_african_descent,55 to 64,en,Likely
NG,woman,black_or_of_african_descent,18 to 24,en,I see a better future and betterment for the future
HN,woman,choose_not_to_identify,45 to 54,,
LR,woman,black_or_of_african_descent,45 to 54,en,Good for African women
